pullback_min,pullback_max,expected_profit,total_signals,success_rate,total_profit,avg_profit
15,35,6.0,38,50.0,87.62,2.31
12,35,6.0,39,48.72,85.08,2.18
15,35,5.0,40,55.0,84.77,2.12
12,35,5.0,41,53.66,82.23,2.01
12,35,4.0,43,65.12,78.83,1.83
15,35,4.0,42,64.29,73.95,1.76
12,35,3.0,43,67.44,62.21,1.45
15,30,5.0,32,53.12,60.75,1.9
15,35,3.0,42,66.67,58.34,1.39
15,30,4.0,32,62.5,49.66,1.55
15,30,3.0,33,69.7,47.20,1.43
15,35,7.0,38,34.21,45.50,1.2
10,30,5.0,34,50.0,43.65,1.28
12,35,7.0,39,33.33,42.96,1.1
15,35,8.0,38,23.68,40.16,1.06
10,30,4.0,34,61.76,39.98,1.18
12,35,8.0,39,23.08,37.62,0.96
10,30,3.0,35,68.57,36.51,1.04
15,30,6.0,30,36.67,34.23,1.14
10,25,4.0,34,55.88,22.95,0.68
10,30,6.0,32,34.38,17.13,0.54
10,25,5.0,33,39.39,15.69,0.48
15,30,8.0,28,17.86,14.07,0.5
10,30,8.0,29,17.24,11.53,0.4
10,25,8.0,31,19.35,9.47,0.31
15,30,7.0,28,21.43,8.93,0.32
12,28,3.0,29,55.17,8.75,0.3
10,25,6.0,31,32.26,6.68,0.22
10,30,7.0,29,20.69,6.39,0.22
10,25,7.0,31,25.81,6.23,0.2
10,25,3.0,34,58.82,5.74,0.17
12,28,5.0,29,34.48,-5.89,-0.2
12,28,4.0,29,44.83,-6.29,-0.22
12,28,6.0,28,21.43,-18.43,-0.66
12,28,8.0,27,11.11,-19.22,-0.71
12,28,7.0,27,14.81,-22.35,-0.83
